"id","product_title","rating","total_rating","price","final_price","ram_gb","storage_gb","bought_in_last_month","brand","screen_size_in_inches","cpu_model","special_features","graphics_card","os"
186,"Lenovo V15 Intel Core i3 13th Gen (16GB RAM/512GB SSD/Windows 11 Home/Office 2024/Iron Grey) 15.6"" FHD (1920x1080) Antiglare 250 Nits Thin & Light Laptop/1Y Onsite/1.65 kg, 83CCA08KIN","4.0","(59)","35990","36990",16,512,500,"Lenovo","156","Core i3","Anti Glare Coating, HD Audio, Lightweight, Spill Resistant","Integrated","Windows 11 Home"
188,"HP Victus, 13th Gen Intel Core i5-13420H, 4GB RTX 2050, 16GB DDR4 (Upgradeable) 512GB SSD, 144Hz, IPS, 300 nits, FHD, 15.6''/39.6cm, Win11, M365* Office24, Mica Silver, 2.3kg, fa2703tx Gaming Laptop","3.9","(547)","60990","60990",16,512,NULL,"HP","396","Others","Anti Glare Coating, Micro Edge Display","Dedicated","Windows 11 Home"
189,"HP Pavilion 15 AMD Ryzen 5 7530U, 15.6-inch(39.6 cm), FHD, Anti-Glare Display (16GB/1TB SSD/AMD Radeon Graphics/Win 11 Home+MSO'21/Audio by B&O/Backlit KB/ 1.75kg/Natural Silver, 15-EH3055AU","4.2","(118)","42990","62450",16,1,NULL,"HP","156","Ryzen 5","Anti Glare Coating, Backlit Keyboard, HD Audio, Lightweight, Micro-Edge Display","Integrated","Windows 11 Home"
190,"MSI Katana 15, Intel 13th Gen. i7-13620H, 40CM FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/MSO 2021/NVIDIA GeForce RTX 4050, GDDR6 6GB/Black/2.25Kg) B13VEK-2220IN","5.0","(1)","94990","99990",16,10,NULL,"MSI","40","Intel Core i7","RGB backlit","Dedicated","Windows 11 Home"
191,"acer Aspire Lite (2025) AMD Ryzen 3 Quad Core 5300U - (16 GB/512 GB SSD/AMD Radeon Graphics/Windows 11 Home) AL15-41 Thin and Light Laptop (15.6 Inch FHD, Steel Grey, 1.5 Kg/MS Office 2021","5.0","(1)","29999","33999",16,512,NULL,"acer","156","Ryzen 3 5300U","HD Audio, Lightweight, Memory Card Slot, Numeric Keypad, Thin","Integrated","Windows 11 Home"
192,"MSI Cyborg 15, Intel Series 2 Core 7 240H, 40cm FHD 144Hz Gaming Laptop (16GB/1TB NVMe SSD/Windows 11 Home/NVIDIA GeForce RTX 5060, GDDR7 8GB/Translucent Black/2.1Kg) B2RWFKG-215IN",NULL,NULL,"142976","119990",16,NULL,NULL,"MSI","40","Intel Core 7",NULL,"Dedicated","Windows 11 Home"
194,"Microsoft New Surface Laptop (7th Edition) - Windows 11 Home Copilot + PC - 13.8” LCD PixelSense Touchscreen - Qualcomm Snapdragon X Plus (10 Core) - 16GB RAM - 512GB SSD - Graphite - ZGM-00059","5.0","(4)","150990","130054",16,512,NULL,"Microsoft","138","Snapdragon","HD Audio","Integrated","Windows 11 Home"
195,"HP 14 AI, Intel Core Ultra 7 155H (16GB DDR5, 512GB SSD) FHD, Anti-Glare, 14""/35.6cm, Win11, Office21, Silver, 1.4kg, gr1023TU, Intel Arc Graphics, FHD Camera w/Shutter, Backlit Kb AI Powered Laptop","3.3","(46)","77500","80942",16,512,NULL,"HP","356","Others","Anti Glare Coating, Built in Microphone","Integrated","Windows 11 Home"
200,"DELL 14 i3 - (4 GB/128 GB SSD/Intel UHD Graphics/DOS) /14.0"" HD Ice Blue","3.2","(10)","33999","33999",8,512,200,"Dell","14","Core i3","Anti Glare Coating, HD Audio, Lightweight, Memory Card Slot","Integrated","Windows 11 Home"
201,"Certified & Tested Dell Latitude E5530 Laptop – Core i5-3340M, 8GB RAM, 128GB SSD, 15.6″ HD Display, Win10 Pro, Numeric Keypad – Reliable Business, Accounting & Professional",NULL,NULL,"10990","13990",8,128,NULL,"Generic","156","Core i5 3340M","Business Laptop","Integrated","Windows 10 Pro"
202,"acer Travel Lite 14[New Launch], AMD Ryzen 3-7330U, 16GB RAM, 512GB SSD, 14inch Full HD, UHD Graphics, Premium Metal Body, Windows 11 Pro, MSO 21, 1.34KG, TL14-42M, Thin & Light Laptop","4.0","(80)","40990","33490",16,512,50,"acer","14","Ryzen 3","Anti Glare Coating, HD Audio, Lightweight, Spill Resistant","Integrated","Windows 11 Pro"
203,"Ienovo ThinkPad T590 | InteI Core i7 8th Gen Processor | 16GB RAM | 512GB SSD | 15.6 inches FHD Display | Win 10 | A+ Condition (Refab) Laptop",NULL,NULL,"25990",NULL,16,512,NULL,"Generic","156","Core i7-8665U","Anti Glare Coating, Fingerprint Reader, Webcam","Integrated","Windows 10"
205,"HP Spectre x360 AI Laptop, Intel Core Ultra 7 155H, 10-12 TOPS, 16GB LPDDR5x, 1TB SSD, 16-inch(40.6cm), Touchscreen, WQXGA, Intel Arc graphics, 9MP IR camera(Win 11, Office 2021, Black,1.95kg)aa0015TU","3.2","(4)","178104",NULL,16,1,NULL,"HP","406","Intel Core Ultra 7","9MP IR Camera, Backlit KB","Integrated","Windows 11 Home"
206,"Lenovo IdeaPad Slim 1 AMD Ryzen 3 7320U 15.6"" HD Thin and Light Laptop (8GB/512GB SSD/Windows 11 Home/MS Office 2021/1Yr ADP Free/Cloud Grey/1.58Kg), 82VG00JJIN","4.0","(512)","32870","31770",8,512,NULL,"Lenovo","156","Ryzen 3","Anti Glare Coating, HD Audio, Memory Card Slot","Integrated","Windows 11 Home"
